"","DATA_YEAR","FIPS_CODE","BRIDGE_ID","YEAR_BUILT","YEAR_RECONSTRCUTED","AVERAGE_DAILY_TRAFFIC","YEAR_ADT","FUTURE_ADT","DECK_COND","SUPERSTRUCTURE_COND","CHANNEL_COND","CULVERT_COND","OPERATING_RATING","INVENTORY_RATING"
"10509",2019,55,"B67025900000000",1997,0,3180,2015,3498,"7","7","8","N",47.4,27.5
"10510",2019,55,"B67026000000000",1997,0,172,2015,189,"8","8","8","N",53.9,32.4
"10511",2019,55,"B67026100000000",1937,0,4223,2015,4645,"3","4","6","N",42.5,13
"10512",2019,55,"B67026200000000",2005,0,350,2016,900,"7","7","N","N",71.8,35.6
"10513",2019,55,"B67026300000000",2010,0,15759,2015,17334,"7","8","9","N",43.4,33.4
"10514",2019,55,"B67026400000000",2008,0,11769,2015,12945,"8","8","N","N",76.7,45.4
"10515",2019,55,"B67026500000000",2007,0,10815,2015,11896,"N","N","8","7",53.9,32.4
"10516",2019,55,"B67026600000000",2000,0,9000,2015,24600,"7","8","N","N",67,35.6
"10517",2019,55,"B67026700000000",2001,0,5100,2015,7500,"7","8","N","N",78.4,34
"10518",2019,55,"B67026800000000",2013,0,2327,2015,2559,"N","N","8","8",54.5,32.6
"10519",2019,55,"B67027000000000",2002,0,11480,2015,12628,"7","7","8","N",63.7,37.3
"10520",2019,55,"B67027100000000",2004,0,11750,2015,14500,"7","7","N","N",50.6,38.9
"10521",2019,55,"B67027200000000",2004,0,14342,2015,15776,"8","8","7","N",75.1,43.7
"10522",2019,55,"B67027300000000",2006,0,17700,2015,23000,"N","N","N","6",53.9,32.4
"10523",2019,55,"B67027400000000",2011,0,27450,2015,76100,"7","8","N","N",67,42.1
"10524",2019,55,"B67027500000000",2011,0,30450,2015,76100,"6","6","N","N",67,42.1
"10525",2019,55,"B67027600000000",2015,0,12100,2016,21409,"7","7","N","N",52.5,38.9
"10526",2019,55,"B67027700000000",2016,0,10310,2016,15810,"8","8","N","N",47.3,36.3
"10527",2019,55,"B67027900000000",2006,0,8500,2018,11500,"6","6","8","N",71.8,42.1
"10528",2019,55,"B67028000000000",2006,0,8500,2018,11500,"7","7","8","N",75.1,45.4
"10529",2019,55,"B67028100000000",2005,0,9950,2015,11500,"7","7","8","N",63.7,38.9
"10530",2019,55,"B67028200000000",2005,0,9950,2015,11500,"7","7","8","N",63.7,38.9
"10531",2019,55,"B67028300000000",2003,0,2276,2015,2503,"N","N","8","7",53.9,32.4
"10532",2019,55,"B67028400000000",2005,0,480,2016,625,"7","7","N","N",84.9,35.6
"10533",2019,55,"B67028500000000",1999,0,906,2015,996,"7","7","8","N",78.4,47
"10534",2019,55,"B67028600000000",2004,0,250,2015,251,"7","7","8","N",71.8,42.1
"10535",2019,55,"B67028700000000",2003,0,2809,2015,3089,"6","6","8","N",49,29.2
"10536",2019,55,"B67028800000000",2004,0,530,2015,583,"N","N","8","7",53.9,32.4
"10537",2019,55,"B67029100000000",2005,0,1236,2015,1359,"7","7","9","N",71.8,43.7
"10538",2019,55,"B67029200000000",1949,2007,6136,2015,6749,"7","8","8","N",83.3,47
"10539",2019,55,"B67029300000000",2008,0,31350,2018,45975,"7","7","N","N",52.3,27.5
"10540",2019,55,"B67029400000000",2008,0,26550,2015,40300,"7","8","N","N",52.3,27.5
"10541",2019,55,"B67029500000000",2008,0,7600,2018,13750,"7","8","N","N",47.4,25.9
"10542",2019,55,"B67029600000000",2008,0,35600,2015,44365,"8","8","N","N",99.9,55.1
"10543",2019,55,"B67029700000000",2007,0,35600,2015,44365,"7","7","N","N",99.9,55.1
"10544",2019,55,"B67029800000000",2004,0,284,2015,312,"7","7","6","N",55.5,32.4
"10545",2019,55,"B67029900000000",2003,0,420,2015,462,"7","7","6","N",53.9,32.4
"10546",2019,55,"B67030000000000",2006,0,647,2015,711,"8","8","9","N",57.2,34
"10547",2019,55,"B67030100000000",2004,0,267,2015,293,"8","8","8","N",53.9,32.4
"10548",2019,55,"B67030200000000",2004,0,106,2015,116,"N","N","7","8",53.9,32.4
"10549",2019,55,"B67030400000000",1983,0,265,2015,291,"N","N","8","6",53.9,29.2
"10550",2019,55,"B67030500000000",2009,0,6359,2015,6994,"8","8","N","N",81.6,38.9
"10551",2019,55,"B67030600000000",2006,0,630,2015,693,"N","N","6","8",54.5,32.6
"10552",2019,55,"B67030700000000",2008,0,70500,2015,82500,"6","6","N","N",80,43.7
"10553",2019,55,"B67030800000000",2009,0,62000,2015,89300,"7","7","N","N",80,43.7
"10554",2019,55,"B67031000000000",2009,0,11488,2015,12636,"8","8","7","N",76.7,45.4
"10555",2019,55,"B67031100000000",2006,0,261,2015,287,"N","N","8","8",57.2,34
"10556",2019,55,"B67031200000000",2008,0,15900,2018,15407,"7","7","9","N",75.1,43.7
"10557",2019,55,"B67031300000000",2008,0,15900,2018,15407,"7","7","9","N",75.1,43.7
"10558",2019,55,"B67031600000000",2008,0,5000,2018,43328,"N","N","8","7",53.9,32.4
"10559",2019,55,"B67031700000000",2014,0,11600,2018,24300,"7","8","N","N",49.6,36.6
"10560",2019,55,"B67031800000000",2009,0,5011,2015,5512,"N","N","6","4",32.7,19.4
"10561",2019,55,"B67031900000000",2016,0,2700,2015,6100,"N","N","8","8",43.7,34
"10562",2019,55,"B67032000000000",2011,0,4550,2015,6700,"7","7","9","N",47.6,36.6
"10563",2019,55,"B67032100000000",2011,0,4550,2015,6700,"8","7","9","N",47.6,36.6
"10564",2019,55,"B67032400000000",2010,0,22100,2017,55600,"7","7","N","N",53.1,40.2
"10565",2019,55,"B67032500000000",2010,0,21400,2017,55600,"7","7","N","N",51.8,39.9
"10566",2019,55,"B67032600000000",2011,0,2850,2015,6700,"7","8","8","N",48.6,36.9
"10567",2019,55,"B67032700000000",2011,0,2850,2015,6700,"8","8","9","N",47.6,36.3
"10568",2019,55,"B67032800000000",2008,0,150,2015,151,"N","N","6","8",53.9,32.4
"10569",2019,55,"B67032900000000",2014,0,11600,2018,24300,"7","7","N","N",53.1,39.9
"10570",2019,55,"B67033000000000",2010,0,6100,2016,7800,"8","8","9","N",45.7,35.3
"10571",2019,55,"B67033100000000",2017,0,16850,2016,16500,"9","9","N","N",48.3,36.9
"10572",2019,55,"B67033200000000",2017,0,16850,2016,16500,"9","9","N","N",48.3,36.9
"10573",2019,55,"B67033300000000",1972,0,18777,2015,20654,"N","N","5","5",53.9,24.3
